src/components/CascadeUpdateModal.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadFieldsData'. Either include it or remove the dependency array.
src/components/ChemicalPrograms.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadChemicals', 'loadPrograms', and 'user'. Either include them or remove the dependency array.
src/components/CrossFarmCopyModal.tsx | error | @typescript-eslint/no-unused-vars | 'currentSeasonId' is defined but never used.
src/components/FertilizerPrograms.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadProducts', 'loadPrograms', and 'user'. Either include them or remove the dependency array.
src/components/NotificationBell.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'load'. Either include it or remove the dependency array.
src/components/SeedVarietyAssignment.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'selectedFields'. Either include it or remove the dependency array.
src/components/TemplateApplicationPreview.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateApplicationPreview.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateApplicationPreview.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateApplicationPreview.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateApplicationPreview.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateApplicationPreview.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'selectedFields'. Either include it or remove the dependency array.
src/components/TemplateSelector.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateSelector.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateSelector.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateSelector.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/TemplateSelector.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadTemplates'. Either include it or remove the dependency array.
src/components/fields/FieldApplicationHistory.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldApplicationHistory.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldApplicationHistory.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldApplicationHistory.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldApplicationHistory.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadApplicationHistory'. Either include it or remove the dependency array.
src/components/fields/FieldProgramDetails.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldProgramDetails.tsx | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/components/fields/FieldProgramDetails.tsx | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadProgramDetails'. Either include it or remove the dependency array.
src/contexts/AuthContext.tsx | warning | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/contexts/FarmContext.tsx | warning | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/contexts/NotificationContext.tsx | warning | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/contexts/NotificationContext.tsx | warning | react-refresh/only-export-components | Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components.
src/hooks/useDashboardMetrics.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadAll' and 'user'. Either include them or remove the dependency array.
src/hooks/useDashboardMetrics.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadAll' and 'user'. Either include them or remove the dependency array.
src/hooks/useReportData.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/hooks/useSalesTracking.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has missing dependencies: 'loadAll' and 'user'. Either include them or remove the dependency array.
src/hooks/useSeasonCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/hooks/useSeasonCrud.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/hooks/useSeasonData.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'user'. Either include it or remove the dependency array.
src/hooks/useSprayPlanner.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/hooks/useSprayPlanner.ts | error | @typescript-eslint/no-unused-expressions | Expected an assignment or function call and instead saw an expression.
src/hooks/useSprayPlanner.ts | error | @typescript-eslint/no-unused-expressions | Expected an assignment or function call and instead saw an expression.
src/hooks/useSprayPlanner.ts | error | @typescript-eslint/no-unused-expressions | Expected an assignment or function call and instead saw an expression.
src/hooks/useSprayPlanner.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadData'. Either include it or remove the dependency array.
src/hooks/useSprayPlanner.ts | warning | react-hooks/exhaustive-deps | React Hook useEffect has a missing dependency: 'loadSavedWorkOrders'. Either include it or remove the dependency array.
src/hooks/useTemplateForm.ts | error | @typescript-eslint/no-unused-expressions | Expected an assignment or function call and instead saw an expression.
src/hooks/useTemplateForm.ts | error | @typescript-eslint/no-unused-expressions | Expected an assignment or function call and instead saw an expression.
src/hooks/useYieldEntry.ts | warning | react-hooks/exhaustive-deps | React Hook useCallback has a missing dependency: 'user'. Either include it or remove the dependency array.
src/hooks/useYieldEntry.ts | warning | react-hooks/exhaustive-deps | The ref value 'autosaveTimers.current' will likely have changed by the time this effect cleanup function runs. If this ref points to a node rendered by React, copy 'autosaveTimers.current' to a variable inside the effect, and use that variable in the cleanup function.
src/lib/exports/chemicalWorkOrderPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/exports/savedWorkOrderAdapter.ts | error | prefer-const | 'epaMap' is never reassigned. Use 'const' instead.
src/lib/exports/seedBagPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/exports/shoppingListPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/exports/shoppingListPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/exports/sprayLogPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/exports/sprayPlannerPdfExport.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/seasonImport.ts | error | @typescript-eslint/no-unused-vars | '_' is defined but never used.
src/lib/seasonImport.ts | error | @typescript-eslint/no-unused-vars | '_' is defined but never used.
src/lib/seasonImport.ts | error | @typescript-eslint/no-unused-vars | 'index' is defined but never used.
src/lib/seasonImport.ts | error | @typescript-eslint/no-unused-vars | 'userId' is defined but never used.
src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
src/lib/shoppingListGeneration.ts | error | @typescript-eslint/no-explicit-any | Unexpected any. Specify a different type.
